"gi.rank","country","gii","abr","repre_parl","sedu_f","sedu_m","lab_f","lab_m","NA.x","sedu_rat","lab_rat","hdi.rank","hdi","liexp","edu","gni","gni-hdi","NA.y"
132,"Bhutan",0.457,120,40.9,8.3,34,34.5,66.7,77.2,0.244117647058824,0.517241379310345,132,0.605,69.5,12.6,3,"7,176",-17
133,"Timor-Leste",NA,270,52.2,38.5,NA,NA,24.6,50.8,NA,NA,133,0.595,68.2,11.7,4.4,"5,363",-6
134,"Syrian Arab Republic",0.533,49,41.6,12.4,29.5,40.5,13.5,72.7,0.420338983050847,3,134,0.594,69.6,12.3,6.3,"2,728",21
134,"Vanuatu",NA,86,44.8,0,NA,NA,61.5,80,NA,NA,134,0.594,71.9,10.6,6.8,"2,803",19
136,"Congo",0.593,410,126.7,11.5,39.7,47,68.5,73,0.289672544080604,0.686131386861314,136,0.591,62.3,11.1,6.1,"6,012",-14
137,"Kiribati",NA,130,16.6,8.7,NA,NA,NA,NA,NA,NA,137,0.59,66,12.3,7.8,"2,434",21
138,"Equatorial Guinea",NA,290,112.6,19.7,NA,NA,80.7,92.2,NA,NA,138,0.587,57.6,9,5.5,"21,056",-84
139,"Zambia",0.587,280,125.4,12.7,25.8,44,73.1,85.6,0.492248062015504,0.601915184678523,139,0.586,60.1,13.5,6.6,"3,734",2
140,"Ghana",0.554,380,58.4,10.9,45.2,64.7,67.3,71.4,0.241150442477876,0.961367013372957,140,0.579,61.4,11.5,7,"3,852",-1
141,"Lao People's Democratic Republic",NA,NA,65,25,22.9,37,76.3,79.1,1.09170305676856,0.484927916120577,141,0.575,66.2,10.6,5,"4,680",-6
142,"Bangladesh",0.503,170,80.6,20,34.1,41.3,57.4,84.1,0.586510263929619,0.719512195121951,142,0.57,71.6,10,5.1,"3,191",5
143,"Cambodia",0.477,170,44.3,19,9.9,22.9,78.8,86.5,1.91919191919192,0.290609137055838,143,0.555,68.4,10.9,4.4,"2,949",7
143,"Sao Tome and Principe",NA,210,65.1,18.2,NA,NA,45.3,77.8,NA,NA,143,0.555,66.5,11.3,4.7,"2,918",8
145,"Kenya",0.552,400,93.6,20.8,25.3,31.4,62.2,72.4,0.822134387351779,0.504823151125402,145,0.548,61.6,11,6.3,"2,762",9
